user_id,year_born,race,img_path,age,over21
12488,1980,4,profile pics/60147.jpeg,41,1
719703,1985,4,profile pics/60148.jpeg,36,1
722153,1973,3,profile pics/60149.jpeg,48,1
811618,1987,3,profile pics/60152.jpeg,34,1
822540,1979,4,profile pics/60153.jpeg,42,1
865071,1995,4,profile pics/60154.jpeg,26,1
988211,1965,4,profile pics/60155.jpeg,56,1
1025311,1955,4,profile pics/60156.jpeg,66,1
1143891,1976,3,profile pics/60157.jpeg,45,1
1191741,1973,4,profile pics/60158.jpeg,48,1
1459461,1984,4,profile pics/60160.jpeg,37,1
1603031,1984,3,profile pics/60161.jpeg,37,1
1846921,1985,4,profile pics/60163.jpeg,36,1
2026441,1965,4,profile pics/60164.jpeg,56,1
2093301,1989,1,profile pics/60165.jpeg,32,1
3144431,1943,4,profile pics/60167.jpeg,78,1
3237521,1974,4,profile pics/60168.jpeg,47,1
3488451,1978,3,profile pics/60169.jpeg,43,1
3544741,1987,4,profile pics/60170.jpeg,34,1
3566011,1976,1,profile pics/60171.jpeg,45,1
3770721,1973,4,profile pics/60172.jpeg,48,1
4339771,1985,4,profile pics/60173.jpeg,36,1
4521491,1979,1,profile pics/60174.jpeg,42,1
4650621,1961,4,profile pics/60175.jpeg,60,1
5135501,1982,4,profile pics/60176.jpeg,39,1
5371102,1995,4,profile pics/60177.jpeg,26,1
5416812,1964,4,profile pics/60178.jpeg,57,1
5666752,1986,4,profile pics/60179.jpeg,35,1
5690282,1987,2,profile pics/60180.jpeg,34,1
5874062,1990,1,profile pics/60181.jpeg,31,1
5880532,1988,4,profile pics/60182.jpeg,33,1
5917992,1977,4,profile pics/60183.jpeg,44,1
6051522,1989,4,profile pics/60184.jpeg,32,1
6332682,1977,3,profile pics/60185.jpeg,44,1
6470852,1984,4,profile pics/60186.jpeg,37,1
6479382,1971,1,profile pics/60187.jpeg,50,1
6584072,1979,4,profile pics/60188.jpeg,42,1
6740082,1969,4,profile pics/60189.jpeg,52,1
7074382,1982,3,profile pics/60190.jpeg,39,1
7097802,1972,4,profile pics/60191.jpeg,49,1
7182022,1973,4,profile pics/60192.jpeg,48,1
7211262,1984,4,profile pics/60193.jpeg,37,1
7348342,1982,4,profile pics/60194.jpeg,39,1
7397422,1974,4,profile pics/60195.jpeg,47,1
7417492,1957,4,profile pics/60196.jpeg,64,1
7544592,1989,4,profile pics/60197.jpeg,32,1
7765472,1987,4,profile pics/60198.jpeg,34,1
7899462,1980,4,profile pics/60199.jpeg,41,1
8010492,1977,4,profile pics/60201.jpeg,44,1
8194092,1988,4,profile pics/60202.jpeg,33,1
8406662,1976,4,profile pics/60203.jpeg,45,1
8470262,1993,2,profile pics/60204.jpeg,28,1
9044272,1960,4,profile pics/60207.jpeg,61,1
9079602,1992,4,profile pics/60208.jpeg,29,1
9411542,1972,4,profile pics/60209.jpeg,49,1
9428922,1982,4,profile pics/60210.jpeg,39,1
9853352,1980,3,profile pics/60211.jpeg,41,1
9868472,1980,4,profile pics/60212.jpeg,41,1
10181972,1979,4,profile pics/60213.jpeg,42,1
10234782,1987,4,profile pics/60214.jpeg,34,1
10451182,1971,4,profile pics/60215.jpeg,50,1
10476692,1954,4,profile pics/60216.jpeg,67,1
10644122,1969,4,profile pics/60217.jpeg,52,1
10773912,1992,4,profile pics/60218.jpeg,29,1
10797732,1981,4,profile pics/60219.jpeg,40,1
10827952,1976,4,profile pics/60220.jpeg,45,1
10841872,1985,3,profile pics/60221.jpeg,36,1
11198062,1956,4,profile pics/60225.jpeg,65,1
11254832,1970,4,profile pics/60226.jpeg,51,1
11423162,1977,1,profile pics/60227.jpeg,44,1
11522232,1977,4,profile pics/60228.jpeg,44,1
11623142,1981,4,profile pics/60229.jpeg,40,1
12056712,1989,4,profile pics/60231.jpeg,32,1
12332182,1977,4,profile pics/60232.jpeg,44,1
12545042,1978,4,profile pics/60233.jpeg,43,1
13059962,1967,4,profile pics/60234.jpeg,54,1
13165752,1978,4,profile pics/60235.jpeg,43,1
13361832,1980,3,profile pics/60237.jpeg,41,1
13720722,1961,4,profile pics/60238.jpeg,60,1
13981312,1959,4,profile pics/60239.jpeg,62,1
14030812,1964,4,profile pics/60240.jpeg,57,1
14062421,1993,4,profile pics/60242.jpeg,28,1
14124606,1977,4,profile pics/60243.jpeg,44,1
14171950,1982,4,profile pics/60245.jpeg,39,1
14194825,1953,2,profile pics/60246.jpeg,68,1
14211227,1984,4,profile pics/60247.jpeg,37,1
14222204,1992,4,profile pics/60248.jpeg,29,1
14244184,1976,4,profile pics/60250.jpeg,45,1
14256294,1970,2,profile pics/60251.jpeg,51,1
14272973,1992,4,profile pics/60252.jpeg,29,1
14296407,1979,4,profile pics/60253.jpeg,42,1
14297464,1977,4,profile pics/60254.jpeg,44,1
14304515,1978,1,profile pics/60255.jpeg,43,1
14336742,1986,4,profile pics/60256.jpeg,35,1
14343915,1958,4,profile pics/60257.jpeg,63,1
